DY,MO,YEAR,pm25
1,2,2019,94
2,2,2019,83
3,2,2019,73
4,2,2019,63
5,2,2019,68
6,2,2019,59
7,2,2019,57
8,2,2019,64
9,2,2019,66
10,2,2019,59
11,2,2019,71
12,2,2019,67
13,2,2019,75
14,2,2019,69
15,2,2019,68
16,2,2019,67
17,2,2019,63
18,2,2019,61
19,2,2019,69
20,2,2019,54
21,2,2019,46
22,2,2019,46
23,2,2019,44
24,2,2019,47
25,2,2019,51
26,2,2019,67
27,2,2019,76
28,2,2019,63
1,3,2019,66
2,3,2019,52
3,3,2019,56
4,3,2019,43
5,3,2019,37
6,3,2019,44
7,3,2019,31
8,3,2019,34
9,3,2019,23
10,3,2019,37
11,3,2019,54
12,3,2019,52
13,3,2019,69
14,3,2019,59
15,3,2019,78
16,3,2019,99
17,3,2019,95
18,3,2019,76
19,3,2019,48
20,3,2019,39
21,3,2019,36
22,3,2019,40
23,3,2019,24
26,3,2019,57
27,3,2019,54
28,3,2019,55
29,3,2019,51
30,3,2019,55
31,3,2019,57
1,10,2018,84
2,10,2018,98
3,10,2018,81
4,10,2018,59
5,10,2018,56
6,10,2018,102
7,10,2018,102
8,10,2018,118
9,10,2018,100
10,10,2018,89
11,10,2018,84
12,10,2018,89
13,10,2018,86
14,10,2018,72
15,10,2018,56
16,10,2018,44
17,10,2018,50
18,10,2018,106
25,10,2018,53
26,10,2018,66
27,10,2018,69
28,10,2018,62
29,10,2018,110
30,10,2018,103
31,10,2018,91
1,11,2018,101
2,11,2018,108
3,11,2018,101
4,11,2018,69
5,11,2018,91
6,11,2018,91
7,11,2018,50
8,11,2018,42
9,11,2018,46
10,11,2018,59
11,11,2018,57
12,11,2018,73
13,11,2018,78
14,11,2018,80
15,11,2018,83
16,11,2018,77
17,11,2018,78
18,11,2018,74
19,11,2018,47
20,11,2018,53
21,11,2018,77
22,11,2018,90
23,11,2018,73
24,11,2018,58
25,11,2018,31
26,11,2018,38
27,11,2018,48
28,11,2018,99
29,11,2018,68
30,11,2018,93
1,12,2018,79
2,12,2018,67
3,12,2018,91
4,12,2018,82
5,12,2018,61
6,12,2018,77
7,12,2018,91
8,12,2018,57
9,12,2018,76
10,12,2018,52
11,12,2018,74
12,12,2018,93
13,12,2018,80
14,12,2018,80
15,12,2018,67
16,12,2018,64
17,12,2018,105
21,12,2018,112
22,12,2018,104
23,12,2018,121
24,12,2018,86
25,12,2018,98
26,12,2018,77
27,12,2018,91
28,12,2018,111
29,12,2018,100
30,12,2018,79
1,7,2018,60
2,7,2018,62
3,7,2018,50
4,7,2018,32
5,7,2018,42
6,7,2018,52
7,7,2018,53
8,7,2018,55
9,7,2018,56
10,7,2018,57
11,7,2018,44
12,7,2018,32
13,7,2018,41
14,7,2018,49
15,7,2018,59
16,7,2018,58
17,7,2018,50
18,7,2018,49
19,7,2018,61
20,7,2018,70
21,7,2018,62
22,7,2018,58
23,7,2018,62
24,7,2018,58
25,7,2018,69
26,7,2018,71
27,7,2018,65
28,7,2018,60
29,7,2018,52
30,7,2018,51
31,7,2018,76
1,8,2018,81
2,8,2018,61
3,8,2018,66
4,8,2018,60
5,8,2018,64
6,8,2018,80
7,8,2018,78
8,8,2018,65
9,8,2018,60
10,8,2018,52
11,8,2018,53
12,8,2018,59
13,8,2018,64
14,8,2018,83
15,8,2018,73
16,8,2018,73
17,8,2018,58
18,8,2018,58
19,8,2018,65
20,8,2018,64
21,8,2018,64
22,8,2018,65
23,8,2018,58
24,8,2018,62
25,8,2018,61
26,8,2018,54
27,8,2018,64
28,8,2018,60
29,8,2018,73
30,8,2018,63
31,8,2018,77
1,9,2018,66
2,9,2018,69
3,9,2018,53
4,9,2018,61
5,9,2018,52
6,9,2018,53
7,9,2018,75
8,9,2018,78
9,9,2018,82
10,9,2018,63
11,9,2018,73
12,9,2018,62
13,9,2018,79
14,9,2018,55
15,9,2018,54
16,9,2018,43
17,9,2018,39
18,9,2018,45
19,9,2018,68
20,9,2018,102
21,9,2018,77
22,9,2018,71
23,9,2018,93
24,9,2018,121
25,9,2018,71
26,9,2018,63
27,9,2018,62
28,9,2018,64
29,9,2018,68
30,9,2018,39
1,4,2018,91
2,4,2018,88
3,4,2018,74
4,4,2018,66
5,4,2018,65
6,4,2018,68
7,4,2018,77
8,4,2018,98
9,4,2018,112
10,4,2018,89
11,4,2018,60
12,4,2018,58
13,4,2018,59
14,4,2018,59
15,4,2018,60
16,4,2018,66
17,4,2018,73
18,4,2018,91
19,4,2018,72
20,4,2018,76
21,4,2018,76
22,4,2018,83
23,4,2018,77
24,4,2018,59
25,4,2018,51
27,4,2018,49
28,4,2018,46
29,4,2018,49
30,4,2018,57
1,5,2018,53
2,5,2018,46
3,5,2018,56
4,5,2018,82
5,5,2018,88
6,5,2018,59
7,5,2018,80
8,5,2018,84
9,5,2018,71
10,5,2018,109
11,5,2018,79
12,5,2018,82
13,5,2018,81
14,5,2018,81
15,5,2018,62
16,5,2018,54
17,5,2018,55
18,5,2018,95
19,5,2018,75
20,5,2018,86
21,5,2018,87
22,5,2018,116
23,5,2018,84
24,5,2018,113
25,5,2018,97
26,5,2018,98
27,5,2018,97
28,5,2018,108
29,5,2018,106
30,5,2018,75
31,5,2018,73
1,6,2018,65
2,6,2018,80
3,6,2018,63
4,6,2018,66
5,6,2018,59
6,6,2018,78
7,6,2018,71
8,6,2018,64
9,6,2018,66
10,6,2018,70
11,6,2018,78
12,6,2018,83
13,6,2018,71
14,6,2018,79
15,6,2018,54
16,6,2018,35
18,6,2018,17
19,6,2018,35
20,6,2018,44
21,6,2018,49
22,6,2018,61
23,6,2018,70
24,6,2018,68
25,6,2018,74
26,6,2018,65
27,6,2018,87
28,6,2018,109
29,6,2018,78
30,6,2018,68
1,1,2018,96
2,1,2018,104
3,1,2018,135
4,1,2018,121
5,1,2018,61
6,1,2018,57
7,1,2018,55
8,1,2018,61
9,1,2018,74
10,1,2018,113
11,1,2018,89
12,1,2018,78
13,1,2018,126
15,1,2018,132
16,1,2018,122
17,1,2018,109
18,1,2018,134
19,1,2018,115
20,1,2018,122
21,1,2018,118
22,1,2018,141
23,1,2018,106
24,1,2018,109
25,1,2018,108
26,1,2018,117
27,1,2018,130
28,1,2018,97
29,1,2018,97
30,1,2018,116
31,1,2018,119
1,2,2018,112
2,2,2018,118
3,2,2018,137
